,Código comuna,Región,Nombre comuna,Número de personas en situación de pobreza por ingresos,Porcentaje de personas en situación de pobreza por ingresos 2015,Límite inferior,Límite superior,Metodología de Estimación
187,8412,VIII del Biobío,Portezuelo,1625.287,0.37064698338508606,0.2976881265640259,0.4578818678855896,SAE
188,8413,VIII del Biobío,Quillón,2208.116,0.14386993646621704,0.0746508315205574,0.18107940256595612,SAE
189,8414,VIII del Biobío,Quirihue,3000.877,0.265376478433609,0.19497942924499512,0.3399302363395691,SAE
190,8415,VIII del Biobío,Ránquil,1247.407,0.28000158071517944,0.22194764018058777,0.3729163706302643,SAE
191,8416,VIII del Biobío,San Carlos,13786.26,0.2718433439731598,0.22529630362987518,0.3280903995037079,SAE
192,8417,VIII del Biobío,San Fabián,781.3438,0.23785199224948883,0.15526993572711945,0.28932222723960876,SAE
193,8418,VIII del Biobío,San Ignacio,4445.245,0.29452359676361084,0.22514086961746216,0.3771732449531555,SAE
194,8419,VIII del Biobío,San Nicolás,1937.206,0.1961926519870758,0.1141875833272934,0.23875321447849274,SAE
195,8420,VIII del Biobío,Treguaco,1266.566,0.27121323347091675,0.20226003229618073,0.3535080850124359,SAE
196,8421,VIII del Biobío,Yungay,2829.241,0.15331314504146576,0.09489414095878601,0.22231197357177734,SAE
197,9101,IX de la Araucanía ,Temuco,46859,0.14441348612308502,0.11886617541313171,0.17436501383781433,Estimación Directa
198,9102,IX de la Araucanía ,Carahue,8671,0.36253032088279724,0.2828093469142914,0.45060449838638306,Estimación Directa
199,9103,IX de la Araucanía ,Cunco,6063,0.33653420209884644,0.29274794459342957,0.38332003355026245,Estimación Directa
200,9104,IX de la Araucanía ,Curarrehue,2034.699,0.2632892429828644,0.17408515512943268,0.3168138861656189,SAE
201,9105,IX de la Araucanía ,Freire,5935,0.21502065658569336,0.13721847534179688,0.3205469250679016,Estimación Directa
202,9106,IX de la Araucanía ,Galvarino,3900.428,0.38246989250183105,0.2901451885700226,0.450147807598114,SAE
203,9107,IX de la Araucanía ,Gorbea,2421.924,0.16119292378425598,0.0873652920126915,0.20311929285526276,SAE
204,9108,IX de la Araucanía ,Lautaro,10932,0.3022143542766571,0.22970320284366608,0.386140912771225,Estimación Directa
205,9109,IX de la Araucanía ,Loncoche,4049.339,0.19633159041404724,0.13372768461704254,0.24379773437976837,SAE
206,9110,IX de la Araucanía ,Melipeuco,1709.33,0.3277718722820282,0.24675674736499786,0.4188501238822937,SAE
207,9111,IX de la Araucanía ,Nueva Imperial,9782,0.31806209683418274,0.2738056480884552,0.36586794257164,Estimación Directa
208,9112,IX de la Araucanía ,Padre Las Casas,20077,0.2507994771003723,0.19806814193725586,0.3121056854724884,Estimación Directa
209,9113,IX de la Araucanía ,Perquenco,2535.385,0.36438411474227905,0.29281359910964966,0.46098142862319946,SAE
210,9114,IX de la Araucanía ,Pitrufquén,5236,0.21896955370903015,0.17139185965061188,0.2753655016422272,Estimación Directa
211,9115,IX de la Araucanía ,Pucón,5221,0.1458868831396103,0.07571979612112045,0.26260194182395935,Estimación Directa
212,9116,IX de la Araucanía ,Saavedra,5257.39,0.42896461486816406,0.33907169103622437,0.5204518437385559,SAE
213,9117,IX de la Araucanía ,Teodoro Schmidt,5995.436,0.39839428663253784,0.3358764350414276,0.4999846816062927,SAE
214,9118,IX de la Araucanía ,Toltén,2888.089,0.3290519118309021,0.2539195418357849,0.41924503445625305,SAE
215,9119,IX de la Araucanía ,Vilcún,8552.947,0.35792380571365356,0.3102472424507141,0.43273547291755676,SAE
